Source Plate Name,Source Column,Source Row,Destination Plate Name,Destination Column,Destination Row,Transfer Volume
E15L00001500,36,21,1,1,1,5.0
E15L00001498,5,27,1,1,1,5.0
E15L00001490,9,29,1,1,1,5.0
E15L00001499,23,8,1,1,1,5.0
E15L00001477,42,1,1,1,1,5.0
E15L00001480,22,27,1,1,1,5.0
E15L00001502,31,31,1,1,1,5.0
E15L00001486,37,31,1,1,1,5.0
E15L00001499,44,23,1,1,1,5.0
E15L00001498,29,7,1,1,1,5.0
E15L00001487,40,3,1,1,1,5.0
E15L00001501,9,7,1,1,1,5.0
E15L00001487,34,7,1,1,1,5.0
E15L00001501,8,1,1,1,1,5.0
E15L00001483,35,1,1,1,1,5.0
E15L00001487,20,21,1,1,1,5.0
E15L00001464,42,13,1,1,1,5.0
E15L00001509,47,19,1,1,1,5.0
E15L00001479,44,25,1,1,1,5.0
E15L00001497,6,6,1,1,1,5.0
E15L00001467,47,30,1,1,1,5.0
E15L00001468,24,16,1,1,1,5.0
E15L00001507,45,8,1,1,1,5.0
E15L00001485,34,18,1,1,1,5.0
E15L00001483,21,25,1,1,1,5.0
E15L00001493,19,16,1,1,1,5.0
E15L00001490,48,4,1,1,1,5.0
E15L00001477,6,20,1,1,1,5.0
E15L00001478,21,22,1,1,1,5.0
E15L00001508,10,17,1,1,1,5.0
E15L00001497,44,28,1,1,1,5.0
E15L00001498,34,2,1,1,1,5.0
E15L00001483,10,4,1,1,1,5.0
E15L00001476,17,6,1,1,1,5.0
E15L00001486,12,17,1,1,1,5.0
E15L00001487,43,10,1,1,1,5.0
E15L00001495,46,13,1,1,1,5.0
E15L00001474,8,26,1,1,1,5.0
E15L00001510,35,20,1,1,1,5.0
E15L00001500,7,25,1,1,1,5.0
E15L00001487,36,14,1,1,1,5.0
E15L00001489,17,12,1,1,1,5.0
E15L00001478,8,25,1,1,1,5.0
E15L00001484,37,32,1,1,1,5.0
E15L00001489,45,9,1,1,1,5.0
E15L00001505,39,15,1,1,1,5.0
E15L00001498,48,10,1,1,1,5.0
E15L00001497,41,12,1,1,1,5.0
E15L00001464,10,13,1,1,1,5.0
E15L00001501,41,28,1,1,1,5.0
E15L00001479,45,15,1,1,1,5.0
E15L00001482,18,14,1,1,1,5.0
E15L00001467,14,3,1,1,1,5.0
E15L00001507,47,3,1,1,1,5.0
E15L00001489,19,21,1,1,1,5.0
E15L00001499,14,20,1,1,1,5.0
E15L00001503,48,6,1,1,1,5.0
E15L00001478,41,14,1,1,1,5.0
E15L00001465,7,28,1,1,1,5.0
E15L00001487,20,6,1,1,1,5.0
E15L00001507,19,24,1,1,1,5.0
E15L00001468,24,14,1,1,1,5.0
E15L00001489,14,15,1,1,1,5.0
E15L00001480,16,30,1,1,1,5.0
E15L00001485,17,20,1,1,1,5.0
E15L00001470,29,21,1,1,1,5.0
E15L00001505,42,9,1,1,1,5.0
E15L00001495,5,23,1,1,1,5.0
E15L00001492,30,4,1,1,1,5.0
E15L00001467,6,6,1,1,1,5.0
E15L00001485,16,14,1,1,1,5.0
E15L00001486,20,19,1,1,1,5.0
E15L00001475,33,22,1,1,1,5.0
E15L00001476,42,18,1,1,1,5.0
E15L00001470,46,20,1,1,1,5.0
E15L00001472,19,27,1,1,1,5.0
E15L00001473,45,3,1,1,1,5.0
E15L00001488,29,3,1,1,1,5.0
E15L00001471,45,13,1,1,1,5.0
E15L00001475,41,1,1,1,1,5.0
E15L00001473,20,15,1,1,1,5.0
E15L00001486,48,6,1,1,1,5.0
E15L00001471,33,11,1,1,1,5.0
E15L00001480,8,3,1,1,1,5.0
E15L00001467,20,23,1,1,1,5.0
